Id,SpeakerName,Phrase,translation
1010213001,潘达,カトりんの様子、どうですか？/nまさか、また台本にかじりついたりは……。,卡特琳的状况如何？/n该不会又在埋头苦读剧本吧……
1010213002,静香,さすがにしてないわ。/nでも、ずっと布団にくるまってるの……。,倒也不至于。/n不过，她一直把自己卷在被窝里……
1010213003,心菜,呼びかけると返事はしてくれるんだけど、/nそれ以上は反応なくて……。,虽然喊她会有回应，/n但也没有更多的反应……
1010213004,八恵,あの卡特琳娜さんが……これは、かなり重症ですね……。,那个卡特琳娜姐居然会……看来确实病得不浅呀……
1010213005,心菜,でも、ああなっちゃうのも当然だと思う……。/nセンスが使えなくなって、すごく不安なんだよ……。,可是，我觉得会变成那样也很正常……/n她现在用不了个性，变得很不安……
1010213006,静香,心菜……。,心菜……
1010213007,知冴,どうする、潘达？/nこのままにしとくのは、良くないと思うけど。,潘达，该怎么办？/n我觉得就这样放着她不管不是很好。
1010213008,潘达,そうだよな～……。/nこういうときはやっぱり――,对啊~……/n这种时候当然要——
1010213009,潘达,ぱーっと気晴らしするしかないでしょ！,尽情地消遣才行呀！
1010213010,,,
1010213011,卡特琳娜,……。,……
1010213012,心菜,卡特琳娜ちゃん、今日は思いっきり遊ぼう！,小卡特琳娜，今天就尽管去玩吧！
1010213013,卡特琳娜,……だからって、今は気晴らしするような気分になれないわ。,……就算你这么说，我也不可能马上转变成消遣的心态。
1010213014,心菜,そ、それでもだよ！,即，即使如此也好！
1010213015,心菜,どんな時でも、気分転換ってすごく大事だと思うんだ。,我觉得无论在什么时候，转换心情都是很重要的事情。
1010213016,知冴,ボスがせっかく休みくれたんだし。,老大难得让我们休息一天。
1010213017,潘达,そうそう！　今日一日を有効に使わなきゃ！,没错没错！得把今天这一天假日有效利用起来！
1010213018,,,
1010213019,卡特琳娜,はぁ……。,唉……
1010213020,八恵,ねぇ静香さん……あんな状態の卡特琳娜さん、/nどうやって外まで引っ張り出したんですか？,能告诉我吗，静香同学……/n你们到底是怎么把处于那种状态的卡特琳娜同学拉出来的？
1010213021,静香,心菜がめちゃくちゃお願いして、なんとかね。,是心菜非常使劲地拜托她，才总算把她拉出来。
1010213022,静香,それが一番効くはずだって、潘达に言われたの。,潘达告诉我们，这是最有效的方法。
1010213023,卡特琳娜,潘达が入れ知恵してたのね……。,原来是潘达出的主意啊……
1010213024,卡特琳娜,心菜が泣き落とししてくるなんて、おかしいと思ったのよ……。,我正奇怪着心菜怎么会像那样苦苦哀求呢……
1010213025,潘达,あれ？　気付いてた上で出てきてくれたんですか？,咦？明明察觉到不对，却还是出来了吗？
1010213026,卡特琳娜,演技だとしても、あんな風に泣きつかれたら/n無下にはできないでしょ。,就算只是演戏，被她像那样哭着央求我，/n我当然不忍心弃置不顾呀。
1010213027,卡特琳娜,それに……心配してくれてるのは/nちゃんと、わかってる……から。,而且……我也知道，/n你们是在担心我……
1010213028,潘达,にやにや。,笑眯眯。
1010213029,卡特琳娜,にやにやしないでっ！,不要摆出这种笑脸！
1010213030,八恵,さすが潘达さん……相手の弱点を突くのが本当に上手ですね。,不愧是潘达同学……真的很擅长击中对手的弱点呀。
1010213031,潘达,ふっふっふ♪　新妻っちにもほめられちゃった～。,哼哼哼♪ 被新妻亲表扬啦~。
1010213032,卡特琳娜,まったく……。,真是的……
1010213033,卡特琳娜,それで、今日はどこ行くの？,所以说，今天要去哪？
1010213034,潘达,カトりんが行きたいところはありますか？,卡特琳有想去的地方吗？
1010213035,潘达,できたらリクエストを聞きたいんですが。,如果可以的话，我想寻求你的意见。
1010213036,卡特琳娜,そんなの、わかんないわよ……。,这种事，我也不知道啊……
1010213037,心菜,じゃあ、楽しい気分になれるところはどうかな？,那么，就去能让心情变好的地方，怎么样？
1010213038,心菜,卡特琳娜ちゃんに気分転換してもらいたいんだし。,毕竟我们的目的是想让小卡特琳娜转换心情嘛。
1010213039,静香,心菜はああ言ってるけど？,心菜是这么说的哟？
1010213040,卡特琳娜,……心菜が決めたなら、それでいいわ……。,……既然心菜决定了，那就这样吧……
1010213041,潘达,ふむ、楽しい気分に……。,嗯，让心情变好……
1010213042,潘达,それなら、今日は浅草界隈欲張りセットでいきましょうか！,既然如此，今天就走一遍浅草周边的贪婪之旅吧！
1010213043,知冴,おー、欲張りセットでいくのか。,哦—，要走贪婪之旅呀。
1010213044,心菜,それって……？,那是什么……？
1010213045,潘达,午前中で花やしきの全アトラクション制覇したのち、/nもんじゃの店をはしご！　その後は和スイーツ巡りで……。,上午把浅草花屋敷的全部景点都打卡一遍，/n逐个拜访文字烧的店！然后再去逛一圈日式点心的……
1010213046,卡特琳娜,それは嫌。,我不要。
1010213047,潘达,ここちゃんの言うとおりにするって言ったじゃないですか～。,不是说好了照心心说的来办嘛~。
1010213048,心菜,卡特琳娜ちゃん……。,小卡特琳娜……
1010213049,卡特琳娜,……はぁ～……わかったわよ。/nでも、疲れたらすぐ帰るから。,……唉~……我知道啦。/n不过，累了我就马上回去。
1010213050,八恵,心菜さんには、本当に素直なんですね。,果然你对心菜同学真的很坦诚呀。
1010213051,知冴,卡特琳娜テイマー、心菜爆誕。,卡特琳娜驯服者，心菜诞生。
1010213052,卡特琳娜,人のこと、ペットみたいに言わないでくれる……？,能别把人说得跟宠物一样吗……？
info,录制：ylaie  翻译：null  校对：潮留开,,
title,正因平淡而珍贵,,
