Id,SpeakerName,Phrase,translation
1010313001,卡特莉娜,ねぇここな。/n５限って、理科室に移動だったわよね？　,"我说心菜。/n第五节是去理科教室上课对吧？"
1010313002,心菜,…………。,"……"
1010313003,卡特莉娜,ここな？,心菜？
1010313004,心菜,…………。,"……"
1010313005,卡特莉娜,ここなってば！,听得到吗心菜！
1010313006,心菜,あ、ごめん……なにか言った？,啊对不起……你说什么了？
1010313007,卡特莉娜,……アンタねぇ。,……真是的。
1010313008,容,はいはい、天下の往来でケンカはご法度だよー。,好啦好啦，不可以在人来人往的地方吵架哦。
1010313009,仁花子,うんうん！　みんな仲良く！,嗯嗯！大家要和睦相处！
1010313010,卡特莉娜,別にケンカなんてしてないわよ。,才没有吵架。
1010313011,卡特莉娜,……何か用ですか？　,……有什么事吗？
1010313012,容,そういうわけじゃないんだけど、/nふたりを見かけたもんだからさ。,"不是有事找你们。/n只是刚好看到你们两个。"
1010313013,仁花子,せっかくだし、少しお話したいなって。,难得遇见，想聊聊天而已。
1010313014,心菜,…………。,"……"
1010313015,容,おやおや……？　/nここちぃ、なんだか疲れてる？　,"哎呀呀……？/n心心亲，好像很累的样子？"
1010313016,心菜,え……。,欸……
1010313017,仁花子,ボーっとしてて、いつものここなちゃんじゃないみたい……。,呆呆的，完全不像平时的心菜……
1010313018,仁花子,『悪魔の友人』の稽古、そんなに大変なの？　,『恶魔之友』的排练，那么辛苦吗？
1010313019,容,一応、アタシたちはあの演目の先輩だしさ。/n困り事があるなら、力になるよ？　,"我们姑且算是那个剧目的前辈。/n有困难的话，可以找我们帮忙哦？"
1010313020,心菜,だ、大丈夫です！　困ってることなんてありません！,没、没事！没什么困扰的！
1010313021,仁花子,ほんとにぃ？,真的吗？
1010313022,心菜,いい舞台にしたいから、稽古、張り切りすぎちゃって。/nそれでちょっと疲れてるのかも。,"因为想呈现像样的舞台所以排练有点太努力了/n所以可能有点累。"
1010313023,仁花子,あー、そっか。ここなちゃん主演だもんね。/nだーちゃんとしぐれちゃんも大変そうだったなぁ。,"啊~这样啊，心菜是主演嘛。/n哒酱和小时雨那时候也很辛苦呢。"
1010313024,容,そういうことなら、/nアタシたちがどうこう言えた義理じゃないか。,"既然你都这么说了/n我们也没法多说什么了。"
1010313025,仁花子,頑張るのは良いことだけど、休めるときは休んでね？　,努力虽然是好事，但该休息时还是要休息哦？
1010313026,仁花子,どんなときも健康が第一だから！　,无论什么时候健康都是最重要的！
1010313027,心菜,うん、ありがとう！,嗯，谢谢你们！
1010313028,卡特莉娜,…………。,"……"
1010313029,,,
1010313030,,,
1010313031,望有,どうぞ。,请进。
1010313032,卡特莉娜,失礼します。,打扰了。
1010313033,,,
1010313034,静香,カトリナ……？,卡特莉娜……？
1010313035,,,
1010313036,卡特莉娜,単刀直入に聞くわ。,我就直说了。
1010313037,卡特莉娜,柊さんたちは、ここなをこのまま放っておいて大丈夫だと本当に思ってる？　,柊姐你们真的觉得放着心菜不管没问题吗？
1010313038,望有,大丈夫って？,你说的『没问题』是指？
1010313039,卡特莉娜,あの子、最近は学校でもボーっとしっぱなしなの。,心菜她最近在学校也总是在发呆。
1010313040,卡特莉娜,なのに帰ってくると、すぐに稽古場に行って……。,回来之后却直奔排练场……
1010313041,卡特莉娜,夜中も、アタシたちに隠れて台本読んだりしてるみたいだし。,半夜还躲着我们读剧本。
1010313042,卡特莉娜,そのうち、とんでもない無茶するんじゃないかって怖くなる……。,这样下去真怕她会做出什么出格的事……
1010313043,望有,ここなの自主練については、私たちも把握してるわ。/n明らかにやり過ぎだと思ったら止める。,心菜自主练习的情况我们也掌握着。/n发现明显过度时就会阻止她。
1010313044,花,問題は……そんなに必死に練習してるのに、/n演技の仕上がりがまだ甘いことなんだよねぇ。,"问题是……明明这么拼命练习了，/n演技的完成度却依然不足。"
1010313045,望有,初めて舞台に立った『竹取物語』でも、主演となった/n『アラビアンナイト』でも、ここまで役作りに苦戦している様子はなかった……。,"无论是初次登台的『竹取物语』/n还是担任主演的『一千零一夜』，都没像这次塑造角色这么吃力……"
1010313046,望有,あの時と今で違うことといえば――,现在与当时的区别在于——
1010313047,花,……静香ね。いっつもふたりで役作りしてたけど、/n今回はそうしてないみたいだし。,"……静香吧。以前总是一起塑造角色/n这次似乎没这么做。"
1010313048,花,だけど、ここなの役作りのために静香に負担をかけるわけにもねえ。/n今はあの子も、シリウスの役者なんだから。,"但也不能为了心菜的塑造给静香增加负担/n她现在也是天狼星的正式演员了。"
1010313049,卡特莉娜,それは……そうだけど。,话是……这么说没错。
1010313050,望有,今は、ひとつの正念場なのよ。/nここながひとりで役作りできるかのね。,现在正是关键时刻。/n考验心菜能否独立塑造角色。
1010313051,卡特莉娜,でも……。,但是……
1010313052,花,もちろん、あの子のことは私たちも心配してる。/nだから必要な指導もするし、無茶しないか見守っていくつもり。,"当然我们也很担心她/n所以会进行必要的指导，也会关注她，让她不要太勉强自己。"
1010313053,望有,……ただ、それ以上は自分で掴んでもらうしかないわ。/nここなと静香は、それぞれの役で舞台に立つと決まったんだから。,"……但除此之外只能靠她自己领悟/n毕竟心菜和静香都要以各自的角色站上舞台。"
1010313054,卡特莉娜,…………。,"……"
1010313055,花,大丈夫よ。いざとなったら、私たちがなんとかする。/nここなのこと、心配して相談してくれてありがとね。,"放心吧，关键时刻我们会处理的。/n谢谢你担心她。"
1010313056,卡特莉娜,それは、別に……。,才、才不是担心……
1010313057,花,また何かあったら教えて。/n学校でも部屋でも一緒で、ここなのことよく見てるみたいだし。,有情况随时告诉我们，/n你们在学校和房间都在一起，很容易就能了解她。
1010313058,卡特莉娜,言われなくてもそうするわよ。,不用你说也会的。
1010313059,卡特莉娜,ここなには、こんなところで潰れてほしくないもの……。,我不想让心菜在这种地方崩溃……
1010313060,,,
1010313061,静香,……やっぱり、ここなと話さなきゃ。,……果然必须要和心菜谈谈。
title,苦战,,
info,翻译：苏米热 校对：XXX,,
chapter,天狼星 3章,,
